"name","description"
"main_processing","Main production processing routine the preprocesses the raw data, checks for data errors, run the data through the models, producing predictions. Then it runs the explainer and the rule engine. Finally, saving everything to a csv."
"get_processed_production_data","Returns xy,xc and predictions in a list, can include scores and reasons in output"
"get_dv_id","Returns member names with subscriber_id and member_seq for CSV report"
"get_previous_paid_and_hosp","Returns data.table object of total paid amounts and hospitalizations for the previous 90 and 365 days"
"conform_data","Adds any required variables the may have not been computed, usually as a result of data-driven variables. Also subsets to only those variables that are required for either model processing or rule processing."
"get_model_files","Get's a list of files where all the models are"
"process_models","Processes the xrf dataset through all of the models"
"get_reason_files","Get's all of the bin files used by the explainer"
"process_reasons","Use the predictions to develop explain reasons for why high or low"
"process_route","Use the predictions to route intervention"
"runFun","Runs the X data preprocessing function passed to it with exception handling."
"runFunErr","Executed when an error occurs in runFun"
"runFunWarn","TODO"
"save_results_to_db2","TODO"
"get_next_result_id","TODO"
"get_next_reason_id",""
"check_if_data_already_present","Checks if a model has already been run for the specified date."
"delete_data_as_of_datetime","Deletes records from the model results table for the specified date"
"process_scores","Process the predictions into scores for all models by using the scoring cross reference established in development."
"setup_prod","Sets up the production architecture, including profiling for data validation, explain reasons, merging XRF datasets across model runs, preparing the ""makeRF"" context, confidence intervals, payor grid, and provider grids."
"prepare_validation_profile","Prepares the validation profile that is used in production for data validation"
"get_all_predictions_from_rf","Gets all of the predictions attached to the random forest object (training and test -- if it exists)."
"run_all_predictions","Gets all the predictions by running the xrf dataset through all of the models"
"prepare_explainer","Prepares reasons files NOTE - when adding 'reason' column to Excel, add ' in front of"
"prepare_makeRFContext","Reads in the XRF and saves out the context data (naVals, vLevels, outlierBounds, colClasses)"
"replay_prod","Replays production processing over a time window specified by start and end dates"
"merge_reasons","Merges reasons between two reason files"
"iMFV2","Gets the most frequent value of x TODO rebuild in imidexR2"
"iMFVF2","Gets the frequency of the most frequent value of x"
"iProfile.data.table2","iProfile.data.table() with warnings->NA TODO rebuild in imidexR2 TODO - move to imidexR2 and rebuild"
"prepare_scoring_xref","Develops the scoring cross reference in development for use in production. Gets all models and names from source directory then iterates through all models to create scoring xref file."
"install_packages","Installs the libraries needed for GBA Get Rtools first - manual install: https://cran.r-project.org/bin/windows/Rtools/ make sure to do `writeLines('PATH=""${RTOOLS40_HOME}\\usr\\bin;${PATH}""', con = ""~/.Renviron"")`"
"get_model_ids","TODO"
"get_explainer_vars","TODO"
"get_dv","Gets the dependent variable dataset from RDS"
"get_iv","Gets the independent variable dataset from RDS"
"get_dev_predictor_vars","Get the list of predictors for all the models for the most recent DEV version from RDS and interrogating the model."
"get_dev_model_files","Gets a list of files where all the models are for the most recent DEV version"
"get_dv_paid_and_hosp_only","Return only dependent variables for med_claim_paid_amt and hospitalization_event"
"set_floor_date","Create a new date column that floors a specified date column to a specified unit"
"iCleanCorpus2","Cleans text"
"get_required_vars","Get the list of X variables that are required for all of the models and the rule engine."
"get_experian_vars",""
"get_predictor_vars","Get the list of predictors for all the models by loading them from RDS and interrogating the model."
"trace_var","Traces a list of XRF variables back to the source X variable names."
"untrace_var","Traces a list of X variable names back to the resulting XRF variable names"
"pp_dv","Function to produce dependent variable dataset"
"pp_dv_dev","Produces longitudinal dataset target (dependent) variables for training models."
"pp_dv_prod","Builds ""dependent variables"" (dv) object for input into IV functions for running inference"
"pp_iv_case_mgmt","Creates independent variables derived for case management data"
"get_fanned_out_case_mgmt_dates","Creates one day per on case mgmt per member rows - columns for type / and an any column"
"pp_iv_dental_claim","Creates independent variables derived for dental claims data"
"pp_iv_eligibility","Creates independent variables derived for eligibility data"
"pp_iv_experian","Creates independent variables derived from Experian data"
"pp_iv_med_claim","Creates independent variables derived for med claims data"
"pp_iv_precert","Creates independent variables derived from precert data"
"pp_iv_provider","Creates provider independent variables derived from med claims data"
"pp_iv_rx","Creates independent variables derived for medications data"
"pp_iv_temporal","Creates independent variables derived from temporal data. Right now, WHO flu data. For more info: https://www.who.int/influenza/gisrs_laboratory/flunet/en/. https://www.who.int/about/who-we-are/publishing-policies/data-policy/terms-and-conditions. Prohibited Uses. You will not sell or otherwise transfer the Datasets and/or data contained therein to any third party, except within the Licensed Use. You will not use the Datasets for any other purpose and/or in any other manner than as expressly provided herein, nor attempt to de-anonymise the Datasets. Datasets shall not be used for or in conjunction with the promotion of a commercial enterprise and/or its product(s) or service(s), and/or in any way that suggests that WHO endorses any specific company, products or services. Furthermore, you shall not use the Datasets in a manner that falsifies or misrepresents their content."
"pp_iv_wellview","Creates independent variables derived from wellview data"
"get_person_roll_cols","Returns vector of columns for rolling off of for datasets"
"fanOutDatetimes","Fans out dates"
"get_ssn_lookup","In cases of SSN typos, this returns back groups of SSNs (with one preferred) based on names, dob, and last 4 digits of SSN"
"iCleanCorpus2","TODO move me to imidexR2"
"get_tm_vars","get text mined variables from a column in a data.table"
"cbind_list","cbinds a list of data.tables together and returns a single data.table"
"bool_to_int_fun","converts a boolean vector to integer (and if numeric, also converts to integer"
"over_1_to_1_fun","converts all >1 values to 1 in a vector"
"aggregate_utilization","Aggregates utilization_star_data by 2 dimensions"
"aggregate_variance","Aggregates variance_star_data by 2 dimensions"
"build_rpt_utilization","Builds and saves utilization report to database"
"build_rpt_rolling_cases","Builds rolling open and closed cases rpt section of landing page"
"build_rpt_variance","Builds and saves variance report to database"
"get_prepost_summary","Returns pre-post analysis summary table"
"get_cohort_summary","Returns cohort analysis summary table"
"plot_prepost_cohort_validation","Fully customizeable function to return a validation plot for prepost or cohort analysis"
"plot_cohort_validation_person_ids","Subset of plot_prepost_cohort_validation() with pre-specified parameters to return validation plot with cohort analysis on the x-axis and person IDs on the y-axis"
"plot_prepost_validation_person_ids","Subset of plot_prepost_cohort_validation() with pre-specified parameters to return validation plot with prepost analysis on the x-axis and person IDs on the y-axis"
"plot_cohort_validation_claim_numbers","Subset of plot_prepost_cohort_validation() with pre-specified parameters to return validation plot with cohort analysis on the x-axis and claim numbers on the y-axis"
"plot_prepost_validation_claim_numbers","Subset of plot_prepost_cohort_validation() with pre-specified parameters to return validation plot with prepost analysis on the x-axis and claim numbers on the y-axis"
"plot_prepost_cohort_results","Fully customizeable function to return an analysis results plot for prepost or cohort analysis"
"plot_prepost_paid_amt_results","Subset of plot_prepost_cohort_summary() with pre-specified parameters to return an analysis results plot with prepost analysis on the x-axis and delta average paid amount on the y-axis"
"plot_prepost_hosp_visits_results","Subset of plot_prepost_cohort_summary() with pre-specified parameters to return an analysis results plot with prepost analysis on the x-axis and delta average hospitalizations on the y-axis"
"plot_prepost_ed_visits_results","Subset of plot_prepost_cohort_summary() with pre-specified parameters to return an analysis results plot with prepost analysis on the x-axis and delta average ED visits on the y-axis"
"plot_cohort_paid_amt_results","Subset of plot_prepost_cohort_summary() with pre-specified parameters to return an analysis results plot with cohort analysis on the x-axis and average paid amount on the y-axis"
"plot_cohort_hosp_visits_results","Subset of plot_prepost_cohort_summary() with pre-specified parameters to return an analysis results plot with cohort analysis on the x-axis and average hospitalizations on the y-axis"
"plot_cohort_ed_visits_results","Subset of plot_prepost_cohort_summary() with pre-specified parameters to return an analysis results plot with cohort analysis on the x-axis and average ED events on the y-axis"
"get_prepost_wellview_summary","Returns summary table for prepost analysis of Wellview interventions"
"get_prepost_case_mgmt_summary","Returns summary table for prepost analysis of Case Mgmt interventions"
"get_cohort_wellview_summary","Returns summary table for prepost analysis of Wellview interventions"
"get_cohort_case_mgmt_summary","Returns summary table for prepost analysis of Wellview interventions"
"get_cohort_prepost_med_claim","Returns med claim db for cohort or pre/post analysis"
"set_wellview_solution_cols","Sets Wellview Solution columns to output of get_cohort_prepost_med_claim()"
"set_case_mgmt_cols","Sets Case Managment columns to output of get_cohort_prepost_med_claim()"
"set_vars_stats_per_month","Return a dv or iv file with additional monthly calculated stats on all numeric rows"
"plot_control_charts","Returns a control chart plot with upper control limits and lower control limits and +/- 3 SD from the mean"
"plot_records_per_time","Returns a ggplot2 object of specified diagnostic category records per time"
"plot_percent_records_per_time_per_member","Returns ggplot2 object of percent of records from a specified diagnosis category per specified time per member"
"plot_hospitalizations_per_time","Returns ggplot2 object of hospitalizations per specified diagnosis category per specified time window"
"plot_paid_amt_per_time","Returns ggplot2 object of paid amount per specified diagnosis category per specified time window"
"get_disease_dx_list","Returns list object of all diagnosis names and grep search criteria for diagnosis code columns"
"get_disease_dx_table","Returns a data.table object version of the list output of get_disease_dx_list()"
"get_dx_summary","Returns data.table of demographic summary for specified diagnosis"
"get_all_dx_summary","Returns data.table of demographic summaries for all diagnoses in get_disease_dx_list()"
"get_opioid_generic_list","Returns list of generic names for opioid drugs for NDC list"
"get_opioid_generic_to_grep","Returns string of generic opioid drug names to grep from NDC generic column"
"get_case_mgmt_yoy","Returns data.table of yearly summaries for case management"
"get_case_mgmt_interventions_yoy_stats","Returns data.table of yearly summaries of case management interventions"
"get_intervention_dtm_plot","Returns histogram plot of document text matrix for case management interventions"
"get_rpt_utilization_facts","Gets aggregate facts table for utilization report"
"get_rpt_variance_facts","Gets aggregate facts table for variance report"
"get_rpt_rolling_cases","Gets data for rolling open and closed cases rpt section of landing page"
"get_blr","Gets the billing leakage report from GBA"
"get_all_leakage","Gets the billing leakage report from GBA"
"write_billing_leakage_report_csv","Writes Billing Leakage Report to csv"
"write_billing_leakage_report_xlsx","Writes Billing Leakage Report to xlsx with no formatting"
"write_billing_leakage_report_xlsx_advanced","Writes Billing Leakage Report to xlsx with title formatting"
"get_member_risk_report","Compiles data into data.table for member risk report"
"write_member_risk_report_csv","Writes member risk report to csv in save_dir"
"set_intervention_length","Creates column in case management interventions data.table for length in days of the intervention from start to end date"
"set_active_intervention_years","Creates columns in case management interventions data.table indicating whether the member is active in case management in each year in specified parameter"
"set_addl_case_mgmt_intervention_cols","Sets intervention length, active years, and year floor date to case management interventions table"
"get_full_case_mgmt","Merges the original case management table with interventions and assessments"
"get_case_mgmt_benefit_assessment","Returns only the benefit assessment from case management assessments"
"get_case_mgmt_start_end_dates","Returns case management table of only person_id, sample_date, iSuite_Case_ID, ExtPlanMemberNum, Service_Type, Case_Start_Date, and Case_End_Date"
"merge_case_mgmt_med_claim","Appends case_mgmt columns to med_claim"
"get_dental_claim","Returns dental claims from med claims data table"
"get_dx_claims","Return patient identifiers for claims with diagnosis of interest"
"get_diabetes_2_pts","Return patient identifiers for claims with Type 2 Diabetes"
"get_rx_claims","Return patient identifiers for prescriptions from rx class of interest"
"get_antidiabtic_rx_claims","Return patient identifiers for prescriptions in antidiabetic class"
"get_eligibility_dates","Returns a rows per dates for each member that is e (along with other information on the dataset)"
"set_elig_plan_parse_cols","Generates full eligibility file with parsed plan description and roll column"
"get_eligibility_med_only","Returns only members who are subscribed to a medical or dental insurance plan"
"get_medical_plan_types","Returns all medical plan codes (+ dental)"
"get_member_csv_for_experian","Returns a data.table and csv of eligible members from a specified date to send for Experian data update"
"get_leakage_expert_unbundling_prc","Returns all procedures flagged by expert-based unbundling billing leakage"
"get_leakage_ncci_ptp_prc","Returns all procedures flagged by NCCI's PTP Coding Edits billing leakage https://www.cms.gov/Medicare/Coding/NationalCorrectCodInitEd/NCCI-Coding-Edits"
"get_leakage_expert_upcoding_prc","Returns all procedures flagged by expert-based upcoding billing leakage"
"get_leakage_expert_misc_coding_prc","Returns leakage patterns for misc coding"
"get_leakage_expert_multiple_treatments_prc","Returns leakage patterns for multiple treatments"
"get_deleted_codes","Returns list of procedure codes deleted from HCPCS in specified year"
"get_leakage_deleted_codes","Returns leakage report for HCPCS procedure codes deleted prior to use"
"get_leakage_uncovered_prc","Returns leakage pattern for claims submitted for uncovered patients"
"get_modifier_allowed_prc_codes","Returns allowable procedure codes per specified modifier"
"get_leakage_modifier_misuse_known_codes","Returns all procedures flagged by input modifier misuse with known compatible hcpcs codes"
"get_leakage_modifier_25_misuse","Gets misuse leakage claims for modifier 25"
"get_leakage_modifier_misuse_exclusion_codes","Returns all procedures flagged by input modifier misuse with compatible hcpcs codes that exclude codes from another modifier"
"get_leakage_modifier_59_misuse","Gets misuse leakage claims for modifier 59"
"get_leakage_modifier_overuse_known_codes","Returns data.table of claims where providers were flagged for overuse of specified modifier"
"get_leakage_modifier_25_overuse","Gets overuse leakage claims for modifier 25"
"get_leakage_modifier_overuse_exclusion_codes","Returns modifier overuse leakage claims where valid codes for appending modifier are the invalid codes for another modifier"
"get_leakage_modifier_59_overuse","Gets overuse leakage for modifier 59"
"credible_modifier_calc","Calculates a credible mean"
"get_leakage_provider_leie_prc","Returns all procedures flagged by providers in HHS LEIE list Somewhat fuzzy matching - name/address/business name and has to be in same city and state"
"get_leakage_provider_leie_rx","Returns all RX's flagged by providers / pharmacies in HHS LEIE list"
"get_leakage_cheaper_rx","Returns medications with a cheaper / generic alternative determined by the mean price of medications purchased in the same city and state within the past rx_days_back (365 days) that have the same NONPROPRIETARYNAME, ROUTENAME, and ACTIVE_NUMERATOR_STRENGTH (from the NDC)"
"get_ncci_ptp_codes","Gets Medicare's NCCI PTP procedure code table from xls for billing leakage https://www.cms.gov/Medicare/Coding/NationalCorrectCodInitEd/NCCI-Coding-Edits"
"get_expert_unbundling_codes","Gets expert unbundling procedure codes from xls"
"get_expert_upcoding_codes","Gets expert upcoding procedure codes from xls"
"get_mult_tx_codes","Gets procedure codes to include from multiple treatments leakage pattern"
"get_dpx_ref","Returns deprescribing reference"
"get_leakage_prc","Runs through all billing leakage patterns and returns procedures that are flagged"
"get_leakage_functions","Returns vector of billing leakage pattern functions"
"run_leakage_function","Function to run billing leakage pattern in get_leakage_prc()"
"run_leakage_function_error","Executed when an error occurs in run_leakage_function()"
"get_unbundling_prc_by_ref","Core function of get_leakage_ncci_ptp_prc() and get_leakage_expert_unbundling_prc() Both are essentially unbundling patterns TODO add documentation / parameters"
"get_hospital_pos_codes","Returns vector of hospital place of service codes"
"get_leakage_output_cols","Returns vector of columns to return in leakage patterns"
"get_rx_leakage_output_cols","Returns vector of columns to return in rx-based leakage patterns SUBJECT TO CHANGE!"
"get_claims_pt_id_cols","Returns vector of columns for member identification from claims"
"get_rx_pt_id_cols","Returns vector of columns for member identification from rx db"
"get_non_zero_claims","Returns med claims where bill sum for procedures is greater than zero"
"get_stats_paid_amts","Returns data table of mean, standard deviation, and mean plus one standard deviation of paid amounts for each procedure hcpcs code"
"fix_provider_zip","Changes provider zip to 5-digit format to calculate distance to provider"
"get_multiple_dx_dt","Returns melted data table of all multiple diagnoses in med_claim db"
"set_prc_groupings","Merges HCPCS procedure groups onto med_claim"
"set_dx_groupings","Merges ICD-10 diagnosis groups onto med_claim"
"set_comorbidities","Merges comorbidity scores onto med_claim"
"set_zip_dist","Merges distance from patient to provider zip codes onto med_claim"
"set_med_claim_addl_cols","Returns additional columns merged to med_claim per parameter settings"
"set_multiple_dx_dt_addl_cols","Returns diagnosis grouping and comorbidity columns on melted dx data table"
"iComorbiditiesRoll","The function takes ""roll_data"" and applies a rolling window calculation of comorbidities and conforms it to the ""id_date_data"""
"set_dx_ccsr_groupings","Merges ICD-10 CCSR diagnosis groups onto med_claim"
"set_custom_altum_comorbidities","Merges Custom Altum comorbidity scores onto med_claim"
"get_preventative_prc_iv","Creates indedpe"
"set_preventative_prcs","Merges preventative procedure groups onto med_claim"
"get_prevent_prc_conditions","Returns table of age and gender requirements for preventative procedures"
"set_substance_names","Adds ndc product table to the rx data.table"
"set_substance_names","Breaks out substance names into columns"
"set_route_names","Breaks out routes of administration into columns"
"validate_stringified_array","Checks if input is valid stringified array. Must have brackets. Strings must be surrounded by single or double quotes Does not support mixed type arrays. Elements of array must be unique. Wrote this because complicated to do pure regex"
"validate_quote_wrapped","Checks input if wrapped in single or double quotes"
"validate_item_in_str_array","Checks to see if needle (item) is in haystack (stringified array)"
"get_members_preventative_measures","Returns preventative measures (long not wide) from IV dataset - last 365 days"
"get_members_comorbidities","Gets members comorbidities (long not wide) from IV dataset"
"get_experian_hh_mosaic","Gets members Experian household mosaic from IV dataset (with decode / description)"
"get_intervention_inputs","Creates intervention inputs from outputs of prod_data for run thru intervention functions or"
"process_interventions","Runs the data through the intervention engine, does not fire existing interventions that are in the DB (checks existin)"
"get_intervention_controller","Returns vector of intervention functions"
"run_all_interventions","runs all the rules defined by the rule controller"
"get_required_intervention_cols","Returns character vector of fields to return from rule"
"int_bc_base","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_evaluate_disease","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_evaluate_treatment","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_evaluate_family","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_evaluate_meds","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_evaluate_bundles","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_communicate_dr","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_educate_process","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_educate_medication","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_educate_treatment","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_educate_options","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_educate_emotional","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_reinforce_treatment","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_refer_stoploss","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_refer_coordinator","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_bc_refer_counseling","selects those with any new breast cancer-related claim in the last month new dx if # of claims in last month = # of claims in last 6 months"
"int_diabetes_base","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_evaluate_disease","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_evaluate_meds","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_evaluate_comorbidities","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_evaluate_treatment","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_evaluate_bundles","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_communicate_dr","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_communicate_member","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_communicate_wellness","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_educate_process","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_educate_lifestyle","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_educate_exacerbation","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_educate_hyperglycemia","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_educate_medication","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_educate_testing","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_reinforce_treatment","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_refer_wellness","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_diabetes_refer_online","selects those with diabetes and pre-diabetes claim in last 6mo and high med claim risk prediction OR those with high endocrine 2nd lvl model risk"
"int_ed_base","selects those with high predicted risk of an ED visit in the next year"
"int_ed_evaluate_visits","selects those with high predicted risk of an ED visit in the next year"
"int_ed_evaluate_followup","selects those with high predicted risk of an ED visit in the next year"
"int_ed_evaluate_additional_bundle","selects those with high predicted risk of an ED visit in the next year"
"int_ed_communicate_dr","selects those with high predicted risk of an ED visit in the next year"
"int_ed_communicate_channels","selects those with high predicted risk of an ED visit in the next year"
"int_ed_educate_disease","selects those with high predicted risk of an ED visit in the next year"
"int_ed_educate_procedure","selects those with high predicted risk of an ED visit in the next year"
"int_ed_educate_meds","selects those with high predicted risk of an ED visit in the next year"
"int_ed_educate_care","selects those with high predicted risk of an ED visit in the next year"
"int_ed_educate_cost","selects those with high predicted risk of an ED visit in the next year"
"int_ed_reinforce_treatment","selects those with high predicted risk of an ED visit in the next year"
"int_ed_refer_PCP","selects those with high predicted risk of an ED visit in the next year"
"int_ed_refer_specialist","selects those with high predicted risk of an ED visit in the next year"
"get_warn_pct","Return warn percent for validation of claim field"
"get_error_pct","Return error percent for validation of claim field"
"get_validate_table","Returns validation data.table for single column of interest in claim db"
"validate_cpt_codes","Returns validation for HCPCS procedure codes"
"validate_dx_codes","Returns validation for ICD diagnosis codes"
"validate_modifier_codes","Returns validation for modifier codes"
"validate_zip_codes","Returns validation for zip codes"
"validate_med_claims","Returns all med claim validation test results"
"validate_rx_zip_codes","Returns validation for zip codes"
"validate_rx_claims","Returns all rx claim validation test results"
"validate_discharge_status_code","Validates that discharge status code is populated frequently enough"
"validate_temperature","Validates that temperature is populated frequently enough"
"validate_blood_pressure","Validates that blood pressure is populated frequently enough"
"validate_heart_rate","Validates that heart rate is populated frequently enough"
"validate_respiration_rate","Validates that heart rate is populated frequently enough"
"validate_IV","Validates the independent variables"
"validate_raw_db","Runs a full validation test of the raw database (e.g. redox-life)"
"run_validation_rule","Runs a validation rule"
"get_validate_patient_class_sparsity","TODO"
"test_msg_sparsity_info","TODO"
"test_msg_sparsity_warn","TODO"
